اسم التجمع,facility_name,facility_type,latitude,longitude,Location,facility_status,Sector,working hours,Size
تجمع عسير الصحي,آل مفتاح,مركز رعاية صحية أولية,17.65906,43.32389,"17.65906,43.32389",Active,ظهران الجنوب,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,العمائر,مركز رعاية صحية أولية,18.95737,43.62055,"18.95737,43.62055",Active,الأمواه,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,الحبيل,مركز رعاية صحية أولية,18.08995,42.22737,"18.08995,42.22737",Active,رجال ألمع,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,المنسك,مركز رعاية صحية أولية,18.2075757,42.5617245,"18.2075757,42.5617245",Active,أبها,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,حي الموظفين,مركز رعاية صحية أولية,18.23608,42.60046,"18.23608,42.60046",Active,أبها,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,الربوعة,مركز رعاية صحية أولية,17.5845001,43.3212624,"17.5845001,43.3212624",Active,ظهران الجنوب,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,الرصراص,مركز رعاية صحية أولية,18.26057,42.77318,"18.26057,42.77318",Active,خميس مشيط,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,الصناعية,مركز رعاية صحية أولية,18.3122506,42.6965618,"18.3122506,42.6965618",Active,خميس مشيط,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,عرق بلحنّا,مركز رعاية صحية أولية,18.19783,42.82144,"18.19783,42.82144",Active,أحد رفيدة,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,بحر أبو سكينة,مركز رعاية صحية أولية,18.3312558,41.9034541,"18.3312558,41.9034541",Active,محايل,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,بني عمرو,مركز رعاية صحية أولية,19.3780066,42.0487011,"19.3780066,42.0487011",Active,سبت العلاية,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,بارق,مركز رعاية صحية أولية,18.925,41.93966,"18.925,41.93966",Active,بارق,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,بلّسمر,مركز رعاية صحية أولية,18.7742377,42.2465301,"18.7742377,42.2465301",Active,بلّسمر,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,محايل,مركز رعاية صحية أولية,18.56904,42.03703,"18.56904,42.03703",Active,محايل,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,نشيان,مركز رعاية صحية أولية,19.079926,42.137954,"19.079926,42.137954",Active,النماص,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,قنا,مركز رعاية صحية أولية,18.33208,41.97444,"18.33208,41.97444",Active,محايل,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,روشن,مركز رعاية صحية أولية,20.00237,42.596421,"20.00237,42.596421",Active,بيشة المدينة,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,سهل تنومه,مركز رعاية صحية أولية,18.92834,42.18971,"18.92834,42.18971",Active,تنومه,٢٤ ساعة جميع أيام الأسبوع,24
تجمع عسير الصحي,صمخ,مركز رعاية صحية أولية,19.37058,42.80091,"19.37058,42.80091",Active,بيشة المدينة,٢٤ ساعة جميع أيام الأسبوع,24
