directorate_name,facility_cd,facility_name,facilitytype,latitude,longitude,Location,facility_status,Sector,working hours,Added in Summer Plan,Size
Asir Health Cluster,3333, sueban,PHC,18.86992,41.93211,"18.86992,41.93211",Active,بارق,8,No,40
Asir Health Cluster,3754,A'abal,PHC,18.53741,42.42025,"18.53741,42.42025",Active,بللحمر,8,No,40
Asir Health Cluster,1568,A'aksah,PHC,19.15638,42.14104,"19.15638,42.14104",Active,النماص,8,No,40
Asir Health Cluster,1570,Abass,PHC,19.29864,41.96172,"19.29864,41.96172",Active,المجاردة,8,No,40
Asir Health Cluster,1575,A'elo Mirbah,PHC,18.0905236,42.3737097,"18.0905236,42.3737097",Active,أبها,8,No,40
Asir Health Cluster,1578,Ain Al-Luy,PHC,18.04601,43.01781,"18.04601,43.01781",Active,سراة عبيدة,8,No,40
Bisha Health Affairs,1579,Ain Qahtan,PHC,18.93077,44.06199,"18.93077,44.06199",Active,الأمواه,8,No,40
Bisha Health Affairs,2041,Airport District,PHC,20.00044,42.61543,"20.00044,42.61543",Active,المدينة,8,No,40
Asir Health Cluster,1556,Airport North,PHC,18.31473,42.74687,"18.31473,42.74687",Active,خميس مشيط,8,No,40
Asir Health Cluster,4108,Akhlal,PHC,18.208814,42.019102,"18.208814,42.019102",Active,محايل,8,No,40
Asir Health Cluster,2565,Al Brayd,PHC,18.17952,42.84373,"18.17952,42.84373",Active,أحد رفيدة,8,No,40
Bisha Health Affairs,1581,AL Ghamis Alwahlan,PHC,18.5238,43.64198,"18.5238,43.64198",Active,الأمواه,8,No,40
Asir Health Cluster,2577,Al Ghelan,PHC,19.0881567,41.7860082,"19.0881567,41.7860082",Active,المجاردة,8,No,40
Asir Health Cluster,2572,Al Khalf,PHC,17.9604142,43.1286335,"17.9604142,43.1286335",Active,سراة عبيدة,8,No,40
Asir Health Cluster,2570,Al Khatrish,PHC,18.43839,41.90953,"18.43839,41.90953",Active,محايل,8,No,40
Asir Health Cluster,636,Al- Malaha,PHC,18.3647184,42.4671149,"18.3647184,42.4671149",Active,أبها,8,No,40
Bisha Health Affairs,4481,Al Matla,PHC,19.729917,42.196222,"19.729917,42.196222",Active,العلاية,8,No,40
Bisha Health Affairs,2576,Al Salamah Al Zarya,PHC,19.4168668,41.994735,"19.4168668,41.994735",Active,العلاية,8,No,40
Asir Health Cluster,2574,Al Sarhan,PHC,18.12674,42.68557,"18.12674,42.68557",Active,أبها,8,No,40
Asir Health Cluster,637,Al Tanmia,PHC,18.00147,42.75239,"18.00147,42.75239",Active,أبها,8,No,40
Asir Health Cluster,1484,Al Yazid,PHC,18.09778,42.67968,"18.09778,42.67968",Active,أبها,8,No,40
Asir Health Cluster,2519,Al-A'ardayn,PHC,17.96546,43.20679,"17.96546,43.20679",Active,سراة عبيدة,8,No,40
Asir Health Cluster,2524,Al-A'asran,PHC,18.048674,43.062908,"18.048674,43.062908",Active,سراة عبيدة,8,No,40
Bisha Health Affairs,3439,Alaetf 2,PHC,20.13866,42.6318,"20.13866,42.6318",Active,الشمالي,8,No,40
Asir Health Cluster,2526,Alammarh,PHC,18.38159,42.64721,"18.38159,42.64721",Active,خميس مشيط,8,No,40
Asir Health Cluster,2521,Al-Areen (Abha),PHC,18.2408457,42.5305706,"18.2408457,42.5305706",Active,أبها,8,No,40
Asir Health Cluster,2522,Al-Azizah,PHC,18.20755,42.42947,"18.20755,42.42947",Active,أبها,8,No,40
Bisha Health Affairs,2064,Al-Baheem,PHC,19.69994,42.36231,"19.69994,42.36231",Active,الجنوبي,8,No,40
Asir Health Cluster,2473,Al-Bataelah,PHC,18.1934673,42.2697722,"18.1934673,42.2697722",Active,رجال ألمع,8,No,40
Asir Health Cluster,3366,Albatnah,PHC,18.863174,42.638692,"18.863174,42.638692",Active,وادي بن هشبل,8,No,40
Asir Health Cluster,2474,Al-Bayrak,PHC,18.22973,41.53255,"18.22973,41.53255",Active,البرك,8,No,40
Bisha Health Affairs,2476,Al-Bazazah,PHC,19.62371,41.97418,"19.62371,41.97418",Active,العلاية,8,No,40
Asir Health Cluster,2477,Al-Buka'a,PHC,17.7179273,43.2688844,"17.7179273,43.2688844",Active,ظهران الجنوب,8,No,40
Bisha Health Affairs,2042,Al-Dajw,PHC,20.1028283,42.660005,"20.1028283,42.660005",Active,المدينة,8,No,40
Asir Health Cluster,2511,Al-Dhars,PHC,18.5422286,42.0841347,"18.5422286,42.0841347",Active,محايل,8,No,40
Asir Health Cluster,2520,Al-Erqeen,PHC,18.3352582,43.2766056,"18.3352582,43.2766056",Active,سراة عبيدة,8,No,40
Bisha Health Affairs,2534,Al-Fara,PHC,18.58046,43.91029,"18.58046,43.91029",Active,الأمواه,8,No,40
Asir Health Cluster,2539,Al-Fara'a Health Center,PHC,18.07178,42.69689,"18.07178,42.69689",Active,أبها,8,No,40
Asir Health Cluster,2535,Al-Fara'ayn,PHC,18.15296,42.96215,"18.15296,42.96215",Active,أحد رفيدة,8,No,40
Asir Health Cluster,3694,Al-Farshah South,PHC,17.673499,43.171767,"17.673499,43.171767",Active,الفرشة,8,No,40
Asir Health Cluster,2536,Al-Fayd,PHC,18.3604214,41.7213249,"18.3604214,41.7213249",Active,البرك,8,No,40
Bisha Health Affairs,3568,Alfoaha,PHC,19.76958,41.96542,"19.76958,41.96542",Active,البشاير,8,No,40
Asir Health Cluster,2533,Al-Furshah,PHC,17.74876,43.15475,"17.74876,43.15475",Active,الفرشة,8,No,40
Bisha Health Affairs,2049,Al-Ghafrat,PHC,19.785237,42.411298,"19.785237,42.411298",Active,الجنوبي,8,No,40
Asir Health Cluster,2531,Al-Ghayna'a,PHC,18.02742,42.41477,"18.02742,42.41477",Active,أبها,8,No,40
Asir Health Cluster,2530,Al-Gheel,PHC,17.73899,43.52682,"17.73899,43.52682",Active,ظهران الجنوب,8,No,40
Asir Health Cluster,2529,Al-Ghul,PHC,17.74349,43.34104,"17.74349,43.34104",Active,الحرجة,8,No,40
Asir Health Cluster,2527,Al-Ghurs,PHC,18.4962149,43.3599293,"18.4962149,43.3599293",Active,المضة,8,No,40
Asir Health Cluster,2483,Al-Hajir,PHC,17.5007814,43.6199498,"17.5007814,43.6199498",Active,ظهران الجنوب,8,No,40
Asir Health Cluster,2560,Al-Hamijah,PHC,18.30918,42.72146,"18.30918,42.72146",Active,خميس مشيط,8,No,40
Asir Health Cluster,2485,Al-Harjah,PHC,17.92403,43.36467,"17.92403,43.36467",Active,الحرجة,8,No,40
Asir Health Cluster,2492,Alhay al jadeed,PHC,18.29328,42.75914,"18.29328,42.75914",Active,خميس مشيط,8,No,40
Asir Health Cluster,2493,Al-Haymah,PHC,18.7240151,42.5690853,"18.7240151,42.5690853",Active,وادي بن هشبل,8,No,40
Asir Health Cluster,2486,Al-Heradah,PHC,17.7845642,41.9402111,"17.7845642,41.9402111",Active,القحمة,8,No,40
